file,line,prop,val,mapped,nums_px
src/App.vue,389,padding-top,"env(safe-area-inset-top, 0px)",True,[0.0]
src/App.vue,400,padding,0 8px,True,[8.0]
src/App.vue,413,gap,8px,True,[8.0]
src/App.vue,428,padding,4px 8px,True,"[4.0, 8.0]"
src/App.vue,438,gap,4px,True,[4.0]
src/App.vue,467,padding,var(--toolbar-control-padding),,[]
src/App.vue,507,gap,0,,[]
src/App.vue,508,gap,8px,True,[8.0]
src/App.vue,513,gap,8px,True,[8.0]
src/App.vue,515,padding-top,"calc(var(--app-top-bar-height, 56px) + var(--page-content-top-gap, 8px))",False,"[56.0, 8.0]"
src/App.vue,528,margin,0 auto,,[]
src/App.vue,529,padding-inline,"var(--page-edge-gap, 2px)",False,[2.0]
src/App.vue,534,padding-left,"calc(var(--left-nav-occupy, 220px) + var(--left-nav-gap, 10px))",False,"[220.0, 10.0]"
src/App.vue,539,margin-left,auto,,[]
src/App.vue,540,margin-right,auto,,[]
src/App.vue,541,padding-inline,"var(--page-edge-gap, 2px)",False,[2.0]
src/App.vue,549,padding-bottom,var(--mobile-bottom-nav-space),,[]
src/App.vue,556,gap,4px,True,[4.0]
src/App.vue,561,gap,8px,True,[8.0]
src/App.vue,570,gap,4px,True,[4.0]
src/App.vue,585,padding,8px !important,True,[8.0]
src/App.vue,589,padding,8px 8px !important,True,"[8.0, 8.0]"
src/App.vue,601,padding,8px 8px !important,True,"[8.0, 8.0]"
src/App.vue,609,gap,8px !important,True,[8.0]
src/App.vue,618,padding-inline,"var(--page-edge-gap, 2px) !important",False,[2.0]
src/App.vue,622,padding-inline,0 !important,,[]
src/App.vue,628,padding-inline,0 !important,,[]
src/App.vue,720,gap,16px,True,[16.0]
src/components/popup/CommonDialog.vue,190,padding,16px,True,[16.0]
src/components/popup/CommonDialog.vue,208,padding,16px,True,[16.0]
src/components/popup/CommonDialog.vue,216,margin,0,,[]
src/components/popup/CommonDialog.vue,230,padding,8px,True,[8.0]
src/components/popup/CommonDialog.vue,231,margin,0,,[]
src/components/popup/CommonDialog.vue,244,padding,16px,True,[16.0]
src/components/popup/CommonDialog.vue,250,margin,8px 0,True,[8.0]
src/components/popup/CommonDialog.vue,271,padding,16px 16px,True,"[16.0, 16.0]"
src/components/popup/CommonDialog.vue,275,gap,8px,True,[8.0]
src/components/popup/CommonDialog.vue,278,padding,8px 16px,True,"[8.0, 16.0]"
src/components/popup/CommonDialog.vue,340,padding,16px,True,[16.0]
src/components/popup/CommonDialog.vue,347,padding,16px,True,[16.0]
src/components/popup/CommonDialog.vue,355,padding,16px,True,[16.0]
src/components/popup/CommonDialog.vue,359,padding,8px 16px,True,"[8.0, 16.0]"
src/components/popup/CommonDialog.vue,364,margin,0,,[]
src/components/profile/SecurityCard.vue,34,gap,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,772,padding,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,834,padding,16px 16px,True,"[16.0, 16.0]"
src/components/common/NodeDetailModal.vue,852,margin,0,,[]
src/components/common/NodeDetailModal.vue,880,padding,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,882,margin,0,,[]
src/components/common/NodeDetailModal.vue,908,padding,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,916,gap,24px,True,[24.0]
src/components/common/NodeDetailModal.vue,934,gap,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,944,padding,8px 0,True,[8.0]
src/components/common/NodeDetailModal.vue,1008,margin-bottom,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1014,margin,0,,[]
src/components/common/NodeDetailModal.vue,1028,gap,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1038,gap,4px,True,[4.0]
src/components/common/NodeDetailModal.vue,1040,padding,4px 8px,True,"[4.0, 8.0]"
src/components/common/NodeDetailModal.vue,1092,padding,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1100,margin,0,,[]
src/components/common/NodeDetailModal.vue,1118,margin-bottom,24px,True,[24.0]
src/components/common/NodeDetailModal.vue,1122,padding-bottom,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1144,padding,8px 8px,True,"[8.0, 8.0]"
src/components/common/NodeDetailModal.vue,1154,gap,4px,True,[4.0]
src/components/common/NodeDetailModal.vue,1178,padding,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,1200,gap,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,1228,margin,0,,[]
src/components/common/NodeDetailModal.vue,1246,gap,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1260,padding,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1278,padding,4px 8px,True,"[4.0, 8.0]"
src/components/common/NodeDetailModal.vue,1288,gap,4px,True,[4.0]
src/components/common/NodeDetailModal.vue,1328,margin-top,auto,,[]
src/components/common/NodeDetailModal.vue,1330,padding-top,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,1346,padding,8px 16px,True,"[8.0, 16.0]"
src/components/common/NodeDetailModal.vue,1360,gap,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1394,padding,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1404,margin,0,,[]
src/components/common/NodeDetailModal.vue,1416,padding,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,1418,gap,16px,True,[16.0]
src/components/common/NodeDetailModal.vue,1468,gap,8px,True,[8.0]
src/components/common/NodeDetailModal.vue,1498,margin-bottom,48px,True,[48.0]
src/components/common/NodeDetailModal.vue,1510,padding,8px 16px,True,"[8.0, 16.0]"
src/components/common/LoadingSpinner.vue,62,margin-top,24px,True,[24.0]
src/components/common/ImportConfigCard.vue,256,margin-top,24px,True,[24.0]
src/components/common/ImportConfigCard.vue,259,gap,16px,True,[16.0]
src/components/common/ImportConfigCard.vue,265,gap,8px,True,[8.0]
src/components/common/ImportConfigCard.vue,266,margin-top,0,,[]
src/components/common/ImportConfigCard.vue,273,padding,8px 16px,True,"[8.0, 16.0]"
src/components/common/ImportConfigCard.vue,277,gap,8px,True,[8.0]
src/components/common/ImportConfigCard.vue,288,margin-top,16px,True,[16.0]
src/components/common/ImportConfigCard.vue,298,gap,8px,True,[8.0]
src/components/common/ImportConfigCard.vue,304,padding,8px 16px,True,"[8.0, 16.0]"
src/components/common/ImportConfigCard.vue,309,gap,8px,True,[8.0]
src/components/common/ImportConfigCard.vue,330,padding,8px,True,[8.0]
src/components/common/SlideTabsNav.vue,128,margin-bottom,16px,True,[16.0]
src/components/common/SlideTabsNav.vue,139,padding,0,,[]
src/components/common/SlideTabsNav.vue,148,gap,4px,True,[4.0]
src/components/common/SlideTabsNav.vue,151,padding,8px 8px,True,"[8.0, 8.0]"
src/components/common/SlideTabsNav.vue,163,gap,8px,True,[8.0]
src/components/common/SlideTabsNav.vue,215,margin-bottom,0,,[]
src/components/common/SlideTabsNav.vue,221,padding,4px,True,[4.0]
src/components/common/SlideTabsNav.vue,229,gap,0,,[]
src/components/common/SlideTabsNav.vue,230,padding,0,,[]
src/components/common/SlideTabsNav.vue,236,padding,4px 8px,True,"[4.0, 8.0]"
src/components/common/SlideTabsNav.vue,240,gap,4px,True,[4.0]
src/components/common/SlideTabsNav.vue,291,padding,4px 4px,True,"[4.0, 4.0]"
src/components/common/Toast.vue,78,gap,8px,True,[8.0]
